topic	initial_request	binary_label	user_information_need
Bureaucracy	How does bureaucracy impact economic growth in developing nations?	0.0	Investigate the relationship between bureaucracy and economic development.
Bureaucracy	What are the common criticisms of bureaucratic processes?	0.0	Learn about the disadvantages and drawbacks of bureaucracy.
Bureaucracy	What is the history of bureaucracy and its origins?	0.0	Understand the historical development of bureaucratic systems.
Bureaucracy	What are examples of bureaucratic red tape in healthcare?	0.0	Identify specific instances of bureaucratic inefficiency in healthcare.
Bureaucracy	Tell me about bureaucracy.	1.0	General inquiry about bureaucracy with unclear intent.
Bureaucracy	How does government work?	1.0	Broad question about government, potentially related to bureaucracy.
Bureaucracy	Is bureaucracy good or bad?	1.0	Seeking a value judgement about bureaucracy, lacking specific focus.
Bureaucracy	How did things get so complicated?	1.0	Vague question about complexity, potentially referencing bureaucracy.
Bureaucracy	Why is everything so slow?	1.0	Expressing frustration with slow processes, potentially related to bureaucracy.
Celebrations	When is the next national holiday in the US?	0.0	Identify upcoming US national holidays.
Celebrations	What are traditional foods for a Chinese New Year celebration?	0.0	Learn about food traditions for Chinese New Year.
Celebrations	How do people celebrate birthdays in Japan?	0.0	Understand birthday celebrations in Japan.
Celebrations	Where can I find party decorations for a graduation?	0.0	Locate party supplies for a graduation celebration.
Celebrations	What is the history of Thanksgiving celebrations?	0.0	Learn about the historical origins of Thanksgiving.
Celebrations	What's a good day to celebrate?	1.0	Seeking celebration ideas, intent unclear.
Celebrations	What do people eat for holidays?	1.0	Vague query about holiday food, lacking specificity.
Celebrations	How do cultures celebrate?	1.0	Broad question about celebrations, lacking cultural context.
Celebrations	Where can I get party stuff?	1.0	Vague query about party supplies, lacking event context.
Celebrations	What's the story behind holidays?	1.0	Seeking information about holiday origins, but unspecified which holiday.
Civics	What is the process of amending the US Constitution?	0.0	Understand constitutional amendment process.
Civics	Who is my state representative in the House of Representatives?	0.0	Identify local representative.
Civics	What are the requirements to become a US citizen?	0.0	Understand naturalization requirements.
Civics	What is the role of the Supreme Court?	0.0	Understand the function of the Supreme Court.
Civics	What are the main responsibilities of the President?	0.0	Understand presidential duties.
Civics	How does the government work?	1.0	General inquiry about government function.
Civics	Who represents me?	1.0	Seeking representation information, level unspecified.
Civics	How do I become a citizen?	1.0	Inquiry about citizenship, lacking specifics.
Civics	What does the judicial branch do?	1.0	Seeking information about a branch of government, vague.
Civics	What does the President do?	1.0	General question about the President's role.
Cleaning	How do I clean stainless steel appliances?	0.0	Specific cleaning instructions for stainless steel.
Cleaning	What's the best way to remove mildew from a shower?	0.0	Specific cleaning problem and desired solution.
Cleaning	What are the most effective natural cleaning products?	0.0	Seeking information about natural cleaning options.
Cleaning	How often should I deep clean my kitchen?	0.0	Seeking frequency recommendation for a specific cleaning task.
Cleaning	What is the best way to clean hardwood floors?	0.0	Specific cleaning instructions for hardwood floors.
Cleaning	How do I clean?	1.0	Vague request for cleaning information.
Cleaning	How do I get rid of mold?	1.0	General request about mold removal, lacking specifics.
Cleaning	What can I use to clean?	1.0	Unclear what needs cleaning and with what.
Cleaning	How often should I clean?	1.0	Vague request about cleaning frequency.
Cleaning	How do you clean floors?	1.0	General request about floor cleaning, lacking material specifics.
Clinic	Find a dermatologist in New York City specializing in acne.	0.0	Find a specific type of doctor in a location.
Clinic	What are the operating hours for the cardiology clinic on Monday?	0.0	Determine the hours of operation for a specific clinic.
Clinic	How much does a general check-up cost at your clinic?	0.0	Determine the cost of a specific service.
Clinic	Does the clinic accept Blue Cross Blue Shield insurance?	0.0	Verify insurance acceptance.
Clinic	I need to schedule an appointment with a pediatrician for my child.	0.0	Schedule an appointment with a specific type of doctor.
Clinic	Is there a clinic near me?	1.0	Find a healthcare facility, location unspecified.
Clinic	When are you open?	1.0	Inquire about operating hours, clinic unspecified.
Clinic	How much will this cost?	1.0	Inquire about costs, service unspecified.
Clinic	Do you take insurance?	1.0	Inquire about insurance acceptance, type unspecified.
Clinic	Can I book an appointment?	1.0	Request an appointment, details unspecified.
Clothing	Where can I buy affordable winter coats for women?	0.0	Product search - specific item, price constraint
Clothing	What materials are best for summer dresses?	0.0	Material information for a specific clothing item
Clothing	What is the return policy at Zara?	0.0	Policy inquiry for a specific retailer
Clothing	How do I wash a silk scarf?	0.0	Care instructions for a specific clothing item
Clothing	Show me black high-heeled boots under $100	0.0	Product search - specific item, color, price constraint
Clothing	What clothes should I get?	1.0	General clothing advice, lacks specifics
Clothing	What should I wear?	1.0	Vague request for clothing advice
Clothing	What about returns?	1.0	General question about returns, no retailer specified
Clothing	How do I do laundry?	1.0	General laundry question, not specific to clothing
Clothing	I need some shoes	1.0	Vague request for footwear
Communication	How can I improve my public speaking skills?	0.0	Skill development
Communication	What are the key elements of effective nonverbal communication?	0.0	Understand nonverbal communication components
Communication	What is the best way to communicate with a difficult coworker?	0.0	Seeking advice on workplace communication
Communication	Explain the difference between active and passive listening.	0.0	Understand listening techniques
Communication	What are some strategies for clear and concise writing?	0.0	Improve writing skills
Communication	Can you tell me about communication?	1.0	General information about communication
Communication	How do people communicate?	1.0	Vague inquiry about communication methods
Communication	How do I talk to people?	1.0	General question about interpersonal communication
Communication	What about talking to others?	1.0	Vague inquiry about interpersonal interaction
Communication	How can I get my point across?	1.0	Seeking help with communication effectiveness, unclear context
Commuting	What is the fastest route from Grand Central to Times Square during rush hour?	0.0	Route planning
Commuting	What are the parking rates at Penn Station?	0.0	Parking information
Commuting	Are there any subway delays on the 7 line this morning?	0.0	Real-time transit updates
Commuting	What is the average commute time from Brooklyn to Manhattan?	0.0	Commute time estimation
Commuting	What are the bike lanes near Central Park?	0.0	Cycling infrastructure
Commuting	How do I get to work?	1.0	General commuting assistance
Commuting	How much does it cost to get around?	1.0	Cost of commuting
Commuting	Is the train running on time?	1.0	General transit status
Commuting	How long does it take to get to the city?	1.0	Vague commute time inquiry
Commuting	How can I get around?	1.0	General transportation options
Composting	How long does it take to compost kitchen scraps?	0.0	Timeframe for kitchen scrap decomposition.
Composting	What are the best composting bins for small spaces?	0.0	Product recommendations for limited space.
Composting	How do I maintain a proper carbon to nitrogen ratio in my compost?	0.0	Understanding compost ratios for optimal decomposition.
Composting	What are the benefits of composting for my garden?	0.0	Learn about the advantages of composting for gardening.
Composting	How do I troubleshoot a compost pile that smells bad?	0.0	Problem-solving for common composting issues.
Composting	What is composting?	1.0	Basic understanding of composting.
Composting	Can I compost anything?	1.0	Broad question about compostable materials.
Composting	What goes in compost?	1.0	Seeking information about compostable materials, but lacks specificity.
Composting	Is composting good?	1.0	Seeking a general opinion about composting.
Composting	My compost isn't working	1.0	Vague problem statement about compost failure.
Conservation	What are the most effective methods for protecting endangered species?	0.0	Learn about species protection strategies.
Conservation	What is the impact of deforestation on biodiversity?	0.0	Understand the link between deforestation and biodiversity loss.
Conservation	Where can I find volunteer opportunities for wildlife conservation?	0.0	Find local conservation volunteering options.
Conservation	How does sustainable fishing contribute to marine conservation?	0.0	Understand the role of sustainable fishing in conservation.
Conservation	What are the key threats to coral reef ecosystems?	0.0	Identify dangers to coral reefs.
Conservation	How can I help with conservation?	1.0	General interest in contributing to conservation efforts.
Conservation	What's happening to the forests?	1.0	Vague inquiry about forests, could relate to many topics.
Conservation	Is there anything I can do to help animals?	1.0	Broad question about animal welfare, not specifically conservation.
Conservation	What about saving the oceans?	1.0	General inquiry about ocean protection, lacks specifics.
Conservation	What's going on with the environment?	1.0	Very broad question about the environment, unclear intent.
Cooking	How to bake a chocolate cake?	0.0	Recipe for chocolate cake
Cooking	What is the best way to cook salmon?	0.0	Optimal salmon cooking method
Cooking	How long do I roast a chicken at 375°F?	0.0	Roasting time for chicken
Cooking	What are the health benefits of cooking with olive oil?	0.0	Health benefits of olive oil in cooking
Cooking	How do I make homemade pasta?	0.0	Instructions for making pasta
Cooking	What's for dinner?	1.0	Seeking meal ideas
Cooking	Can you give me a recipe?	1.0	Vague request for a recipe
Cooking	What should I make?	1.0	Seeking cooking ideas, unspecified
Cooking	Is cooking good for you?	1.0	General question about the benefits of cooking
Cooking	What's a good recipe?	1.0	Vague request for a recipe
Creativity	How can I improve my brainstorming skills?	0.0	Skill development
Creativity	What are some techniques for overcoming creative block?	0.0	Problem solving
Creativity	What is the relationship between creativity and innovation?	0.0	Conceptual understanding
Creativity	How does mindfulness enhance creative thinking?	0.0	Exploring cognitive benefits
Creativity	What are the stages of the creative process?	0.0	Understanding process
Creativity	Tell me about creativity.	1.0	General information seeking
Creativity	I feel uninspired.	1.0	Expressing a lack of creativity
Creativity	What's a good idea?	1.0	Vague request for creative input
Creativity	Can you be more creative?	1.0	Unclear question about creativity
Creativity	I need something new.	1.0	Vague desire for novelty
Credit	What is a good credit score range?	0.0	Understand credit score ranges.
Credit	How can I build credit with no credit history?	0.0	Learn how to establish credit.
Credit	What are the factors that affect my credit score?	0.0	Understand credit score determinants.
Credit	How do I dispute an error on my credit report?	0.0	Learn about disputing credit report errors.
Credit	What is the average credit card interest rate?	0.0	Find out average credit card interest rates.
Credit	Tell me about credit.	1.0	General inquiry about credit, intent unclear.
Credit	How do I get credit?	1.0	Vague request about obtaining credit.
Credit	What impacts my credit?	1.0	Broad question about credit impact.
Credit	I think my credit is wrong.	1.0	Unclear issue with credit, needs clarification.
Credit	What are interest rates like?	1.0	Vague question about interest rates.
Culture	What are the traditional foods of Japan?	0.0	Learn about Japanese cuisine.
Culture	What is the significance of Día de Muertos in Mexican culture?	0.0	Understand the meaning of a specific cultural celebration.
Culture	How has K-Pop influenced global fashion trends?	0.0	Investigate the impact of K-Pop on fashion.
Culture	"Can you explain the concept of ""Ubuntu"" in African cultures?"	0.0	Understand a specific African philosophical concept.
Culture	What are the major art forms associated with Renaissance Italy?	0.0	Learn about artistic expressions during the Renaissance.
Culture	Tell me about culture.	1.0	General inquiry about culture with no specific focus.
Culture	What do cultures do?	1.0	Vague question about cultural practices.
Culture	What's popular right now?	1.0	Seeking current trends, potentially including cultural ones, but unclear.
Culture	What are some beliefs people have?	1.0	Broad question about beliefs, not specific to culture.
Culture	What did people do in the past?	1.0	Vague inquiry about past human activities, potentially cultural.
Cycling	What is the best road bike for climbing hills?	0.0	Product recommendation for a specific cycling purpose.
Cycling	How do I fix a flat tire on a bicycle?	0.0	Instructional information for bike maintenance.
Cycling	What are the health benefits of cycling regularly?	0.0	Information about the positive effects of cycling on health.
Cycling	Where are the best cycling routes in Amsterdam?	0.0	Location-based information about cycling routes.
Cycling	What is the proper gear for a long-distance cycling tour?	0.0	Information about equipment needed for a specific cycling activity.
Cycling	I need a bike.	1.0	Vague request related to cycling, unclear what kind of bike.
Cycling	My bike is broken.	1.0	Unclear problem with a bicycle, needs further clarification.
Cycling	Is cycling good for you?	1.0	General question about the benefits of cycling, lacks specificity.
Cycling	Where can I ride a bike?	1.0	Vague request for cycling locations, no specific place mentioned.
Cycling	What do I need for a bike ride?	1.0	Unclear what kind of bike ride, lacking details about the need.
DIY	How to build a simple birdhouse with scrap wood?	0.0	Instructional - building a specific project
DIY	What's the best way to refinish a wood table?	0.0	Seeking advice on a specific DIY task
DIY	Step-by-step instructions for making homemade soap	0.0	Detailed guide for a specific DIY project
DIY	How to install a ceiling fan safely?	0.0	Safety-focused instructional query
DIY	DIY projects to upcycle old clothes	0.0	Project ideas focused on upcycling
DIY	Can I make something?	1.0	General inquiry about DIY possibilities
DIY	How do I fix things?	1.0	Vague request for repair guidance
DIY	What can I craft today?	1.0	Broad question about crafting options
DIY	What projects are easy?	1.0	Seeking simple DIY projects, lacks specificity
DIY	What can I do with old stuff?	1.0	Vague question about repurposing items
Decluttering	What are the best storage solutions for a small bedroom?	0.0	Find storage ideas for limited bedroom space.
Decluttering	What is the KonMari method for decluttering?	0.0	Learn about a specific decluttering technique.
Decluttering	How often should I declutter my closet?	0.0	Determine a frequency for closet decluttering.
Decluttering	What items should I donate when decluttering?	0.0	Identify appropriate donation items during decluttering.
Decluttering	What are the steps for decluttering a home office?	0.0	Learn a process for decluttering a specific space.
Decluttering	How can I organize my stuff?	1.0	General request for organization help, lacking specifics.
Decluttering	Can you help me get organized?	1.0	Vague request for assistance with organization.
Decluttering	When should I clean out my things?	1.0	Seeking guidance on timing for decluttering, imprecise.
Decluttering	What should I get rid of?	1.0	Broad question about items to discard, lacking context.
Decluttering	How do I make my house tidier?	1.0	General request for tidiness, lacking specific decluttering intent.
Devices	How do I reset my iPhone 13?	0.0	Troubleshooting a specific device.
Devices	What are the best noise-cancelling headphones under $200?	0.0	Product recommendation within a price range.
Devices	Where can I find the user manual for a Samsung TV?	0.0	Locating documentation for a specific device.
Devices	Compare the features of the latest Apple Watch Series 9 and Garmin Venu 3	0.0	Comparative analysis of two devices.
Devices	How to connect a Bluetooth speaker to my laptop?	0.0	Instructions for device connectivity.
Devices	My phone is acting weird	1.0	General device issue, unclear what the problem is.
Devices	What headphones should I buy?	1.0	Seeking headphone recommendations, no specifics.
Devices	Where's the manual?	1.0	Seeking documentation, device unspecified.
Devices	Which watch is better?	1.0	Seeking a device comparison, lacking specific models.
Devices	Can I connect something to my computer?	1.0	Vague request about device connectivity.
Diet	What is a balanced diet for a 30-year-old woman?	0.0	Nutritional guidance for a specific demographic.
Diet	How many calories should I consume to lose weight?	0.0	Calorie intake for weight loss.
Diet	What foods are high in protein and low in carbohydrates?	0.0	Specific nutrient profile of foods.
Diet	Can a ketogenic diet help with type 2 diabetes?	0.0	Diet's impact on a specific medical condition.
Diet	What is the daily recommended intake of fiber?	0.0	Specific nutrient intake recommendation.
Diet	What should I eat?	1.0	General dietary advice, lacking specifics.
Diet	How do I eat better?	1.0	Vague request for dietary improvement.
Diet	What foods are good for me?	1.0	General health-related food inquiry.
Diet	Is dieting good?	1.0	General question about the effectiveness of dieting.
Diet	What do I need to eat?	1.0	Broad question about dietary needs, lacking context.
Documentation	How do I install Python on Windows?	0.0	Installation instructions for Python on Windows.
Documentation	Explain the 'for' loop in Python with examples.	0.0	Understanding the functionality of 'for' loops in Python.
Documentation	Where can I find the API documentation for the requests library?	0.0	Locating API documentation for a specific library.
Documentation	How do I troubleshoot error code 500 in Apache?	0.0	Troubleshooting a specific error code in Apache.
Documentation	What are the supported file formats for this program?	0.0	Identifying supported file formats.
Documentation	What does this software do?	1.0	General inquiry about software functionality.
Documentation	What is this thing for?	1.0	Vague question about software purpose.
Documentation	Where is the information?	1.0	Seeking documentation, but lacking specifics.
Documentation	My thing isn't working, help!	1.0	Vague request for assistance with an unspecified issue.
Documentation	What can it open?	1.0	Inquiring about file compatibility, lacking specifics.
Emergency	What is the emergency number in London?	0.0	Access emergency contact information.
Emergency	How do I perform CPR on an adult?	0.0	Learn life-saving first aid procedures.
Emergency	Where is the nearest hospital emergency room?	0.0	Locate immediate medical care.
Emergency	How do I report a fire?	0.0	Understand procedures for reporting a fire.
Emergency	What are the steps for evacuating during a flood?	0.0	Learn emergency procedures for a specific disaster.
Emergency	Help!	1.0	Expressing a need for urgent assistance, nature unclear.
Emergency	What should I do in a crisis?	1.0	Seeking general advice for emergency situations.
Emergency	I need a doctor.	1.0	Expressing a need for medical attention, urgency unclear.
Emergency	Something is wrong.	1.0	Vague expression of distress, nature of emergency unknown.
Emergency	Is everything okay?	1.0	Expressing concern, unclear if a situation requires emergency response.
Environment	What are the current air quality levels in London?	0.0	Check current air quality in a specific location.
Environment	Where can I find information about local recycling programs?	0.0	Locate recycling information for a specific area.
Environment	What are the effects of deforestation on biodiversity?	0.0	Understand the impact of deforestation on plant and animal life.
Environment	What are the main sources of water pollution in rivers?	0.0	Identify causes of river water contamination.
Environment	How can I reduce my carbon footprint at home?	0.0	Find ways to minimize environmental impact in a home setting.
Environment	How is the environment?	1.0	Vague inquiry about the state of the environment.
Environment	What can I recycle?	1.0	Seeking recycling information, but lacking specificity.
Environment	What happens when trees are cut down?	1.0	Inquiring about deforestation, but lacking detail about consequences.
Environment	Is the water clean?	1.0	General question about water quality, lacking location or specifics.
Environment	How can I be more green?	1.0	Seeking ways to be environmentally friendly, but lacking specific context.
Ergonomics	What are the benefits of an ergonomic chair for back pain?	0.0	Seeking information on ergonomic solutions for back pain.
Ergonomics	What is the ideal height for a computer monitor?	0.0	Seeking specific ergonomic measurement for monitor placement.
Ergonomics	What are common ergonomic mistakes in home offices?	0.0	Seeking information about common ergonomic errors.
Ergonomics	What ergonomic accessories can prevent carpal tunnel syndrome?	0.0	Seeking information on accessories to prevent a specific RSI.
Ergonomics	How does proper keyboard placement affect RSI risk?	0.0	Seeking information on keyboard placement and RSI.
Ergonomics	How can I make my workspace better?	1.0	Vague request for workspace improvement.
Ergonomics	Is my desk okay?	1.0	Unclear request about desk setup.
Ergonomics	How should I sit at my desk?	1.0	Vague request for sitting posture guidance.
Ergonomics	What can I do to feel more comfortable at work?	1.0	Vague request for workplace comfort.
Ergonomics	How can I be more comfortable?	1.0	Vague request for general comfort improvement.
Events	When is the next local farmers market?	0.0	Find the date/time of a specific event.
Events	Where is the concert on July 15th taking place?	0.0	Locate the venue for a known event.
Events	How much do tickets cost for the ballet performance?	0.0	Determine the price of tickets for a specific event.
Events	Can I find a free event in the city center tomorrow?	0.0	Find free events in a specific location and timeframe.
Events	Who is performing at the music festival next month?	0.0	Identify performers at a known event.
Events	Is there anything happening this weekend?	1.0	Discover events happening soon, but lacks specifics.
Events	What's going on around here?	1.0	General inquiry about events, lacking location or date.
Events	Are there any fun things to do?	1.0	Seeking entertainment, but the type and location are undefined.
Events	What's new?	1.0	Vague request for information, potentially including events.
Events	What's on?	1.0	Broad inquiry about available events, lacking details.
Exercise	How many calories does running burn per hour?	0.0	Calculate calorie expenditure for a specific exercise.
Exercise	Show me a beginner dumbbell workout for arms.	0.0	Find a workout routine for a specific fitness level and body part.
Exercise	What are the benefits of high-intensity interval training?	0.0	Understand the advantages of a specific exercise type.
Exercise	How long should I warm up before a workout?	0.0	Determine the appropriate duration of a warm-up.
Exercise	What exercises target the gluteus maximus?	0.0	Identify exercises for a specific muscle group.
Exercise	What kind of exercise should I do?	1.0	Seeking general exercise recommendations.
Exercise	I want to get in shape	1.0	Vague desire for fitness improvement.
Exercise	Is exercise good for you?	1.0	General question about the benefits of exercise.
Exercise	What should I do before working out?	1.0	Seeking pre-workout advice, but unspecified.
Exercise	What exercises can I do?	1.0	Broad request for exercise suggestions.
Family	What are some fun activities to do with my family this weekend?	0.0	Recreational activities for families
Family	What are the common signs of a healthy family dynamic?	0.0	Understand characteristics of a healthy family
Family	What are the historical trends in family structures over the past century?	0.0	Historical information about family evolution
Family	What are the legal requirements for establishing guardianship of a family member?	0.0	Legal information regarding family guardianship
Family	What are effective strategies for resolving conflicts between siblings?	0.0	Conflict resolution within a family
Family	What should we do as a family?	1.0	Vague request for family activities
Family	How is a family?	1.0	Vague question about family definition or status
Family	What's changed about families?	1.0	Vague question about changes in family dynamics
Family	What about family issues?	1.0	Broad request for information about family problems
Family	How do you deal with family?	1.0	Vague request for help with family interactions
Feedback	How do I write a performance review for an employee?	0.0	Guidance on writing performance reviews.
Feedback	What are examples of constructive criticism?	0.0	Learn about constructive criticism techniques.
Feedback	How can I ask for feedback on my presentation skills?	0.0	Seeking advice on requesting feedback.
Feedback	What is the best way to deliver negative feedback?	0.0	Learn about delivering negative feedback effectively.
Feedback	How do I respond to critical feedback?	0.0	Learn how to react to criticism.
Feedback	What do you think?	1.0	Seeking general feedback, topic unclear.
Feedback	Is this okay?	1.0	Seeking validation, lacking context.
Feedback	What should I do?	1.0	Vague request for guidance, no specific context.
Feedback	How do I tell them?	1.0	Seeking advice on communication, lacking context.
Feedback	What did they say?	1.0	Seeking information about feedback received, unclear context.
First-aid	How do I treat a first-degree burn?	0.0	Treatment for minor burns.
First-aid	What are the steps for performing CPR on an adult?	0.0	Learn CPR procedure for adults.
First-aid	How to stop nosebleeds quickly?	0.0	Rapidly address a nosebleed.
First-aid	What is the proper way to bandage a sprained ankle?	0.0	Learn correct bandaging technique for sprains.
First-aid	How do I deal with a snake bite?	0.0	Specific treatment for snake bites.
First-aid	What do I do for a cut?	1.0	General inquiry about wound care.
First-aid	Help with injuries	1.0	Vague request for assistance with injuries.
First-aid	What about bleeding?	1.0	General question about dealing with bleeding.
First-aid	What if someone is hurt?	1.0	Unclear situation involving injury.
First-aid	What if you get bitten?	1.0	Vague inquiry about bites.
Food	What are the calories in a medium apple?	0.0	Nutritional information
Food	Where can I find a good Italian restaurant near me?	0.0	Restaurant recommendations
Food	How do I make a chocolate cake?	0.0	Recipe instructions
Food	What are the health benefits of broccoli?	0.0	Health benefits of a specific food
Food	What is the best way to store avocados?	0.0	Food storage advice
Food	What should I eat?	1.0	General dietary advice
Food	I'm hungry	1.0	Expressing a need related to food
Food	What's for dinner?	1.0	Seeking meal ideas
Food	Is food good?	1.0	Vague question about food's value
Food	What about food?	1.0	General inquiry about food
Friendship	How can I make new friends as an adult?	0.0	Seeking advice on forming new friendships.
Friendship	What are the signs of a toxic friendship?	0.0	Identifying characteristics of unhealthy friendships.
Friendship	How do you resolve conflict in a friendship?	0.0	Seeking methods for handling disagreements with friends.
Friendship	What are the benefits of having close friends?	0.0	Understanding the positive aspects of strong friendships.
Friendship	How can I support a friend going through a difficult time?	0.0	Seeking advice on providing emotional support.
Friendship	What is friendship?	1.0	Broad inquiry about the concept of friendship.
Friendship	Are my friends okay?	1.0	Expressing concern about friends, lacking specifics.
Friendship	What happens when friends fight?	1.0	Inquiring about conflict in friendships, broad and undefined.
Friendship	Is it good to have friends?	1.0	General question about the value of friendship.
Friendship	How do you help friends?	1.0	Vague inquiry about assisting friends, lacking context.
Gardening	How do I grow tomatoes in containers?	0.0	Specific growing instructions
Gardening	What is the best fertilizer for roses?	0.0	Product recommendation for a specific plant
Gardening	How often should I water succulents?	0.0	Specific care instructions for succulents
Gardening	What are companion plants for carrots?	0.0	Information about plant compatibility
Gardening	How do I prevent pests on my vegetable garden?	0.0	Problem-solving for garden pests
Gardening	What should I plant?	1.0	General gardening advice, lacks specifics
Gardening	What do plants need?	1.0	Broad question about plant needs, lacks context
Gardening	How much water do plants need?	1.0	Vague question about watering frequency
Gardening	What grows well together?	1.0	Seeking plant combinations, lacks specifics
Gardening	How do I keep bugs away?	1.0	General pest control, lacks specifics
Health	What are the symptoms of the common cold?	0.0	Symptom identification
Health	How much vitamin D do adults need daily?	0.0	Nutritional guidance
Health	What are the long-term effects of diabetes?	0.0	Disease impact understanding
